filename, language, JSON, Markdown, CSS, HTML, JavaScript, XML, comment, blank, total
c:\Users\Nilesh Inkane\Desktop\splay\client\README.md, Markdown, 0, 37, 0, 0, 0, 0, 0, 32, 69
c:\Users\Nilesh Inkane\Desktop\splay\client\package-lock.json, JSON, 13847, 0, 0, 0, 0, 0, 0, 1, 13848
c:\Users\Nilesh Inkane\Desktop\splay\client\package.json, JSON, 38, 0, 0, 0, 0, 0, 0, 0, 38
c:\Users\Nilesh Inkane\Desktop\splay\client\public\index.html, HTML, 0, 0, 0, 20, 0, 0, 23, 1, 44
c:\Users\Nilesh Inkane\Desktop\splay\client\public\manifest.json, JSON, 8, 0, 0, 0, 0, 0, 0, 0, 8
c:\Users\Nilesh Inkane\Desktop\splay\client\src\App.css, CSS, 0, 0, 46, 0, 0, 0, 28, 13, 87
c:\Users\Nilesh Inkane\Desktop\splay\client\src\App.js, JavaScript, 0, 0, 0, 0, 35, 0, 0, 11, 46
c:\Users\Nilesh Inkane\Desktop\splay\client\src\Contexts\AdminContext.js, JavaScript, 0, 0, 0, 0, 2, 0, 0, 1, 3
c:\Users\Nilesh Inkane\Desktop\splay\client\src\Contexts\DialogBoxContext.js, JavaScript, 0, 0, 0, 0, 2, 0, 0, 1, 3
c:\Users\Nilesh Inkane\Desktop\splay\client\src\Contexts\SnackbarContext.js, JavaScript, 0, 0, 0, 0, 6, 0, 0, 1, 7
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\AdminComponents\AdminMenu.js, JavaScript, 0, 0, 0, 0, 115, 0, 1, 14, 130
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\AdminComponents\AdminPanel.js, JavaScript, 0, 0, 0, 0, 27, 0, 8, 18, 53
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\AdminComponents\AdminSidebar.js, JavaScript, 0, 0, 0, 0, 38, 0, 18, 5, 61
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\AdminComponents\Forms\AddVideoForm.js, JavaScript, 0, 0, 0, 0, 264, 0, 48, 36, 348
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\AdminLogin.js, JavaScript, 0, 0, 0, 0, 180, 0, 3, 26, 209
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\BottomNav.js, JavaScript, 0, 0, 0, 0, 36, 0, 1, 6, 43
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\IndexComponent\IndexComponent.js, JavaScript, 0, 0, 0, 0, 126, 0, 5, 16, 147
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\Navbar.js, JavaScript, 0, 0, 0, 0, 91, 0, 0, 12, 103
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\Sidebar\Sidebar.js, JavaScript, 0, 0, 0, 0, 101, 0, 0, 11, 112
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\VideoPlay.js, JavaScript, 0, 0, 0, 0, 30, 0, 0, 9, 39
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\_generic\Banner.js, JavaScript, 0, 0, 0, 0, 41, 0, 1, 9, 51
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\_generic\DialogBox.js, JavaScript, 0, 0, 0, 0, 41, 0, 0, 4, 45
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\_generic\PrivateRoute.js, JavaScript, 0, 0, 0, 0, 19, 0, 0, 4, 23
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\_generic\SearchBox.js, JavaScript, 0, 0, 0, 0, 58, 0, 0, 6, 64
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\_generic\SideComponent.js, JavaScript, 0, 0, 0, 0, 22, 0, 1, 7, 30
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\_generic\Snackbar.js, JavaScript, 0, 0, 0, 0, 37, 0, 3, 8, 48
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\_generic\VideoCard.js, JavaScript, 0, 0, 0, 0, 61, 0, 0, 6, 67
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\_generic\VideoList.js, JavaScript, 0, 0, 0, 0, 204, 0, 1, 27, 232
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\_generic\VideoSlider.js, JavaScript, 0, 0, 0, 0, 48, 0, 14, 9, 71
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\_methods\callSnackbar.js, JavaScript, 0, 0, 0, 0, 5, 0, 0, 3, 8
c:\Users\Nilesh Inkane\Desktop\splay\client\src\components\_methods\isAuthenticated.js, JavaScript, 0, 0, 0, 0, 12, 0, 0, 0, 12
c:\Users\Nilesh Inkane\Desktop\splay\client\src\images\admin-login.svg, XML, 0, 0, 0, 0, 0, 1, 0, 0, 1
c:\Users\Nilesh Inkane\Desktop\splay\client\src\index.js, JavaScript, 0, 0, 0, 0, 12, 0, 0, 5, 17
c:\Users\Nilesh Inkane\Desktop\splay\client\src\routes\index.js, JavaScript, 0, 0, 0, 0, 43, 0, 3, 12, 58
c:\Users\Nilesh Inkane\Desktop\splay\client\src\routes\routePaths.js, JavaScript, 0, 0, 0, 0, 5, 0, 1, 3, 9
c:\Users\Nilesh Inkane\Desktop\splay\client\src\serviceWorker.js, JavaScript, 0, 0, 0, 0, 92, 0, 31, 13, 136
c:\Users\Nilesh Inkane\Desktop\splay\client\src\theme\colors.js, JavaScript, 0, 0, 0, 0, 12, 0, 0, 1, 13
c:\Users\Nilesh Inkane\Desktop\splay\client\src\theme\index.js, JavaScript, 0, 0, 0, 0, 92, 0, 9, 4, 105
Total, -, 13893, 37, 46, 20, 1857, 1, 199, 335, 16388
